120001,蔡小芳,F,69,76,58,85
120002,張小瑋,F,50,42,47,42
120003,王小雅,F,84,86,59,63
120004,黃小翔,M,76,80,78,82
120005,林小宇,F,58,87,68,54
120006,唐小棋,F,89,59,98,42
120007,張小文,F,57,81,67,89
120008,應小峰,M,68,68,78,78
120009,賀小夫,M,63,93,59,66
120010,游小馨,F,81,91,91,64
120011,林小煌,M,77,98,89,43
120012,孫小庭,F,98,76,45,65
120013,黃小嘉,F,70,91,61,61
120014,楊小葳,F,87,73,84,60
120015,李小秀,F,55,81,78,83
120016,陳小柔,F,100,94,76,72
120017,林小君,F,65,67,64,88
120018,謝小婷,F,71,68,65,49
120019,郭小文,F,61,56,80,67
120020,方小婷,F,86,80,56,82
120021,洪小寧,F,73,51,33,70
120022,莊小郁,F,71,82,56,77
120023,陳小政,M,54,63,73,69
120024,徐小倫,M,51,77,82,52
120025,邱小傑,M,82,48,79,68
120026,何小運,M,76,61,56,62
120027,劉小瑩,F,75,67,38,44
120028,王小琳,F,55,44,79,76
120029,徐小容,F,63,90,83,38
120030,何小瑩,F,96,44,54,62
120031,黃小菁,F,84,67,77,86
120032,陳小貞,F,69,60,62,52
120033,賴小勻,F,80,84,47,42
120034,沈小蓁,F,47,41,72,49
120035,朱小穎,F,72,76,56,79
120036,蕭小佑,F,63,61,67,66
120037,余小儒,F,68,58,59,64
120038,呂小倫,F,65,48,85,73
120039,林小芳,F,90,97,79,80
120040,程小雯,F,85,81,73,56
120041,陳小霖,F,85,61,67,63
120042,林小婷,F,57,90,75,86
120043,徐小平,F,86,78,78,67
120044,郭小妤,F,73,61,76,64
120045,陳小妤,F,69,70,83,73
120046,羅小文,F,56,65,67,57
120047,陳小鳴,M,73,50,65,84
120048,黃小庭,F,55,70,59,65
120049,蔡小芹,F,53,86,96,85
120050,丁小馨,F,61,58,85,75
120051,黃小斌,M,61,71,90,55
120052,廖小文,M,49,60,88,54
120053,張小娟,F,63,80,81,57
120054,周小儒,F,54,72,60,40
120055,張小葳,F,78,83,64,59
120056,何小華,M,85,81,80,73
120057,陳小好,F,83,73,83,61
120058,張小鈴,F,73,87,64,74
120059,林小瑩,F,65,71,74,70
120060,葉小盈,F,77,75,64,88
120061,李小雯,F,100,71,89,82
120062,蔡小文,F,82,75,88,57
120063,賴小戎,F,97,75,94,56
120064,賴小彤,F,87,83,73,79
120065,吳小唐,F,61,100,88,91
120066,張小琪,F,73,83,90,70
120067,王小葦,F,62,68,71,70
120068,徐小穎,F,67,77,64,84
120069,王小蕾,F,68,93,75,84
120070,廖小君,F,57,85,78,77
120071,湯小萍,F,90,100,56,75
120072,黃小倫,M,70,79,87,74
120073,林小萱,F,55,96,59,84
120074,林小穎,F,76,75,87,59
120075,范小銘,M,60,72,70,54
120076,黃小婕,F,73,90,90,46
120077,施小吟,F,94,95,99,85
120078,劉小萱,F,82,78,78,74
120079,謝小峮,F,69,60,63,45
120080,許小皓,M,67,56,89,45
120081,許小鴻,M,100,62,69,89
120082,陳小儀,F,91,84,81,72
120083,張小瑋,M,83,83,50,57
120084,鄭小倢,F,60,75,89,67
120085,李小芳,F,76,91,79,81
120086,宋小萱,F,83,84,66,65
120087,李小謀,M,52,86,100,67
120088,許小晶,F,68,64,98,71
120089,許小嫣,F,88,68,59,77
120090,陳小樺,F,75,63,93,57
120091,阮小凱,M,70,78,61,61
120092,陳小君,F,58,66,92,56
120093,王小月,F,62,55,71,48
120094,曾小樺,F,62,84,75,65
120095,聞小雯,F,59,55,51,67
120096,謝小伶,F,90,97,70,86
120097,王小捷,F,78,87,51,46
120098,陳小穎,F,83,61,60,81
120099,蔡小庭,F,78,66,45,63
120100,蕭小安,F,43,62,94,60
120101,劉小瑄,F,65,85,59,83
120102,黃小可,F,91,99,73,64
120103,柯小文,F,78,74,99,63
120104,陳小柔,F,76,89,79,78
120105,許小翎,F,79,91,52,81
120106,馬小鴻,M,82,73,93,57
120107,陳小如,F,71,90,79,59
120108,施小妤,F,84,77,70,55
120109,黃小晴,F,70,81,78,52
120110,林小鋒,M,90,85,59,60
120111,陳小雅,F,87,80,64,71
120112,王小博,M,70,79,85,51
120113,曾小雯,F,71,76,75,56
120114,張小瑋,F,89,100,78,80
120115,鄭小俐,F,65,79,51,85
120116,沈小綺,F,100,80,95,95
120117,高小盈,F,76,60,68,97
120118,蕭小雯,F,62,56,54,65
120119,許小邦,M,60,64,76,55
120120,戴小潔,F,88,85,84,66
120121,章小云,F,60,52,81,46
120122,王小吟,F,60,87,84,56
120123,吳小儀,F,67,35,75,62
120124,張小絜,F,91,68,72,70
120125,陳小陵,F,52,64,57,63
120126,管小婷,F,62,96,66,80
120127,周小穎,F,79,94,72,64
120128,陳小君,F,88,78,69,74
120129,趙小風,F,62,66,61,49
120130,劉小廷,M,82,81,83,68
120131,莊小涵,F,81,77,64,60
120132,鄭小珍,F,70,70,42,56
120133,徐小明,M,63,84,83,54
120134,鄭小薪,F,70,62,75,41
120135,王小柔,F,64,97,56,73
120136,高小嫻,F,84,95,70,90
120137,阮小維,M,78,83,75,62
120138,洪小昊,M,64,41,81,42
120139,陳小臻,F,92,94,79,82
120140,黃小豪,M,72,54,60,74
120141,王小豪,M,68,54,55,52
120142,唐小華,F,89,51,71,59
120143,吳小潔,F,31,76,86,39
120144,蘇小清,F,85,61,62,60
120145,許小柔,F,74,50,75,57
120146,林小翔,M,82,61,85,56
120147,王小瑄,F,72,95,96,76
120148,邱小均,F,73,93,64,56
120149,林小蓁,F,87,96,75,62
120150,林小菁,F,97,84,60,65
120151,劉小豪,M,70,51,87,75
120152,蔡小芸,F,78,100,53,42
120153,郭小萱,F,95,68,62,69
120154,廖小駿,M,56,90,91,90
120155,王小卉,F,80,82,65,69
120156,孫小玟,F,63,74,62,66
120157,陳小均,F,79,63,83,82
