120004,黃小翔,M,76,80,78,82,316
120016,陳小柔,F,100,94,76,72,342
120039,林小芳,F,90,97,79,80,346
120043,徐小平,F,86,78,78,67,309
120056,何小華,M,85,81,80,73,319
120064,賴小彤,F,87,83,73,79,322
120077,施小吟,F,94,95,99,85,373
120078,劉小萱,F,82,78,78,74,312
120082,陳小儀,F,91,84,81,72,328
120085,李小芳,F,76,91,79,81,327
120104,陳小柔,F,76,89,79,78,322
120114,張小瑋,F,89,100,78,80,347
120116,沈小綺,F,100,80,95,95,370
120120,戴小潔,F,88,85,84,66,323
120130,劉小廷,M,82,81,83,68,314
120139,陳小臻,F,92,94,79,82,347
120176,蔡小紋,F,91,81,82,82,336
120235,郭小瑄,F,77,82,92,74,325
120250,吳小哲,M,93,90,99,68,350
120282,黃小庭,F,81,99,95,79,354
120293,李小儀,F,84,79,92,74,329
120296,劉小妮,F,83,80,86,69,318
120297,鐘小羽,F,95,88,93,82,358
120298,吳小庭,F,84,91,72,76,323
120313,鄧小心,F,80,82,84,89,335
120327,吳小燕,F,94,82,94,74,344
120329,許小潔,F,80,91,94,97,362
120330,陳小婕,F,78,88,95,67,328
120335,閔小涵,F,76,96,76,82,330
120336,吳小甄,F,84,96,87,71,338
120353,盧小姍,F,94,89,82,67,332
120370,李小潤,F,77,100,73,67,317
120381,吳小倫,F,100,97,78,92,367
120394,張小汝,F,80,92,83,80,335
120420,曾小繕,F,83,80,86,67,316
120433,吳小彥,M,74,81,75,83,313
120439,陳小慧,F,88,93,76,73,330
120440,陳小竹,F,91,89,73,66,319
120487,郭小君,F,87,86,81,79,333
120492,黃小樹,M,88,78,93,76,335
120502,莊小鈞,F,96,91,91,67,345
120508,謝小螢,F,78,96,85,84,343
120526,高小中,M,75,96,84,87,342
120542,陳小婷,F,76,77,92,82,327
120544,蘇小寧,F,78,100,85,81,344
120577,許小月,F,99,84,72,86,341
120592,楊小融,F,74,84,76,71,305
120621,陳小光,M,92,89,73,82,336
120628,王小銘,M,87,75,72,79,313
120641,許小鈞,M,77,94,72,96,339
120654,蔡小霖,M,75,87,90,76,328
120676,劉小旭,M,81,90,86,79,336
120688,趙小君,F,83,75,72,75,305
120693,黃小安,F,91,97,88,71,347
120763,蘇小琇,F,96,81,89,67,333
120769,涂小文,F,78,95,86,66,325
120779,黃小愷,M,75,89,81,70,315
120782,徐小伶,F,76,90,78,73,317
120790,柯小羽,F,79,98,83,69,329
120803,王小君,F,88,99,83,74,344
120812,廖小君,F,77,96,75,91,339
120821,李小珊,F,80,83,94,83,340
120895,楊小蓉,F,82,89,78,75,324
120910,許小薔,F,84,78,93,73,328
120948,賴小慧,F,90,76,83,87,336
120949,黃小茹,F,78,86,76,84,324
120970,張小文,F,81,95,73,80,329
120979,楊小軒,M,99,76,83,76,334
120989,黃小楨,F,85,77,74,79,315
120999,周小穎,M,79,85,75,67,306
121012,曾小涵,F,77,76,84,77,314
121024,王小葳,F,98,91,78,82,349
121032,簡小臻,F,76,80,78,72,306
121035,張小安,F,93,93,83,86,355
121037,鄧小洵,F,81,100,85,68,334
121058,廖小伶,F,84,79,76,77,316
121072,張小尹,F,82,91,85,81,339
121087,簡小鈞,M,93,86,74,79,332
121095,黃小咨,M,77,80,84,87,328
121104,侯小廷,M,79,100,90,70,339
121131,李小臻,F,79,100,98,83,360
121147,劉小怡,F,86,100,79,78,343
121151,黃小麗,F,90,96,90,79,355
121161,林小馨,F,100,84,74,79,337
121170,周小諺,M,74,81,94,74,323
121200,柯小真,F,96,100,87,74,357
121205,沈小瑾,F,86,90,96,67,339
121207,林小寧,F,91,83,74,74,322
121212,張小珮,F,83,91,72,83,329
121214,李小哲,M,87,90,72,93,342
121224,胡小文,F,78,76,81,91,326
121226,胡小芳,F,97,78,77,81,333
121232,何小廷,M,98,87,95,79,359
121246,黃小祥,F,92,86,72,89,339
121258,賴小蓓,F,75,77,77,88,317
121261,林小舲,F,75,87,98,75,335
121265,林小原,M,77,95,75,76,323
121283,蔡小哲,M,79,93,72,68,312
121287,胡小評,F,80,93,78,75,326
121294,林小樵,F,83,83,86,73,325
121296,彭小婷,F,87,92,82,87,348
121301,陳小涵,F,76,82,83,88,329
121307,吳小慧,F,79,87,77,84,327
